statement_number,emotionality,gender,filename,statement_version
1,no,f,audio/1_IR_neutral.wav,1
1,no,f,audio/j_1-1_un.wav,2
2,no,f,audio/jl_2-1.wav,1
2,no,f,audio/RY_2-2.wav,2
3,no,f,audio/webster_3-1.wav,1
3,no,f,audio/3_IR_neutral.wav,2
4,no,f,audio/j_4-1_un.wav,1
4,no,f,audio/4_IR_emotional.wav,2
5,no,f,audio/jl_5-1.wav,1
5,no,f,audio/SI_5-1.wav,2
6,no,f,audio/j_6-1_un.wav,1
6,no,f,audio/webster_6-2.wav,2
7,no,f,audio/jl_7-1.wav,1
7,no,f,audio/webster_7-2.wav,2
8,no,f,audio/8_IR_neutral.wav,1
8,no,f,audio/8_IR_emotional.wav,2
1,no,m,audio/JM_1-2.wav,1
1,no,m,audio/1_MJ_neutral.wav,2
2,no,m,audio/MH_2.wav,1
2,no,m,audio/2_EJ_neutral.wav,2
3,no,m,audio/LS_3-1.wav,1
3,no,m,audio/3_MJ_neutral.wav,2
4,no,m,audio/4_MJ_neutral.wav,1
4,no,m,audio/b_4-2_un.wav,2
5,no,m,audio/b_5-2_un.wav,1
5,no,m,audio/LS_5-1.wav,2
6,no,m,audio/JM_6-1.wav,1
6,no,m,audio/6_EJ_neutral.wav,2
7,no,m,audio/LS_7-1.wav,1
7,no,m,audio/7_SH_neutral.wav,2
8,no,m,audio/8_SH_neutral.wav,1
8,no,m,audio/8_MJ_neutral.wav,2
1,yes,f,audio/RY_1-1.wav,1
1,yes,f,audio/webster_4.wav,2
2,yes,f,audio/1_SH_neutral.wav,1
2,yes,f,audio/statement_2_emo_female_second.wav,2
3,yes,f,audio/RY_3-2.wav,1
3,yes,f,audio/j_3-4_emo.wav,2
4,yes,f,audio/j_4-3_emo.wav,1
4,yes,f,audio/webster_4-4.wav,2
5,yes,f,audio/webster_5-3.wav,1
5,yes,f,audio/RY_5-2.wav,2
6,yes,f,audio/RY_6-1.wav,1
6,yes,f,audio/j_6-3_emo.wav,2
7,yes,f,audio/RY_7-2.wav,1
7,yes,f,audio/j_7-3_emo.wav,2
8,yes,f,audio/j_8-4_emo.wav,1
8,yes,f,audio/RY_8-2.wav,2
1,yes,m,audio/1_MJ_emotional.wav,1
1,yes,m,audio/1_EJ_emotional_-_ver_1.wav,2
2,yes,m,audio/2_MJ_emotional.wav,1
2,yes,m,audio/2_emotional_male_second_sample.wav,2
3,yes,m,audio/3_EJ_emotional.wav,1
3,yes,m,audio/3_MJ_emotional.wav,2
4,yes,m,audio/4_MJ_emotional.wav,1
4,yes,m,audio/4_SH_emotional.wav,2
5,yes,m,audio/5_EJ_emotional.wav,1
5,yes,m,audio/5_MJ_emotional.wav,2
6,yes,m,audio/b_6-4_emo.wav,1
6,yes,m,audio/6_MJ_emotional.wav,2
7,yes,m,audio/7_EJ_emotional.wav,1
7,yes,m,audio/7_MJ_emotional.wav,2
8,yes,m,audio/b_8-3_emo.wav,1
8,yes,m,audio/8_MJ_emotional.wav,2
