statement_number,statement,truth,voice,gender,filename
1,Adult beavers can hold their breath for up to 15 minutes under water.,TRUE,human,male,audio/human_male_true_1.wav
2,A bee has 5 eyes.,TRUE,human,male,audio/human_male_true_2.wav
3,A honeybee can fly at 15 mph.,TRUE,human,male,audio/human_male_true_3.wav
4,Studies suggest that ants can lift up to 5000 times their own weight.,TRUE,human,male,audio/human_male_true_4.wav
5,Camel's milk does not curdle.,TRUE,human,male,audio/human_male_true_5.wav
6,The average ruby-throated hummingbird weighs less than a nickel.,TRUE,human,male,audio/human_male_true_6.wav
7,Almonds are part of the peach family.,TRUE,human,male,audio/human_male_true_7.wav
8,A ball of glass will bounce higher than a ball of rubber.,TRUE,human,male,audio/human_male_true_8.wav
9,No only child has ever been a U.S. president.,TRUE,human,male,audio/human_male_true_9.wav
10,"In the late 1800s, the United States Mint issued 2-cent and 3-cent coins.",TRUE,human,male,audio/human_male_true_10.wav
11,"If you keep a goldfish in a dark room, it will eventually turn white.",TRUE,human,male,audio/human_male_true_11.wav
12,A seal can sleep while three-quarters of its brain remains awake.,TRUE,human,male,audio/human_male_true_12.wav
13,A crocodile can stick its tongue out further than any other animal.,TRUE,human,male,audio/human_male_true_13.wav
14,China only has one official time zone.,TRUE,human,male,audio/human_male_true_14.wav
15,Texas is the only state that permits residents to cast absentee ballots from space.,TRUE,human,male,audio/human_male_true_15.wav
16,The speed limit in New York City was nine mph in 1895.,TRUE,human,male,audio/human_male_true_16.wav
17,"Before mercury, brandy was used to fill thermometers.",TRUE,human,male,audio/human_male_true_17.wav
18,A male kangaroo is called a boomer.,TRUE,human,male,audio/human_male_true_18.wav
19,Louisiana was named after Louis XIV.,TRUE,human,male,audio/human_male_true_19.wav
20,The mouth of the Statue of Liberty is 3 feet wide.,TRUE,human,male,audio/human_male_true_20.wav
21,There are towns named Sandwich in Illinois and Massachusetts.,TRUE,human,male,audio/human_male_true_21.wav
22,Cows give more milk when they listen to music.,TRUE,human,male,audio/human_male_true_22.wav
23,Half your body's red blood cells are replaced every seven days.,TRUE,human,male,audio/human_male_true_23.wav
24,Blood makes up about 7% of your body's weight.,TRUE,human,male,audio/human_male_true_24.wav
25,A starfish can release approximately 2.5 million eggs at once.,TRUE,human,male,audio/human_male_true_25.wav
26,Your heart does not momentarily stop when you sneeze.,TRUE,human,male,audio/human_male_true_26.wav
27,Tennis was invented before golf.,TRUE,human,male,audio/human_male_true_27.wav
28,Dishwashers were invented before washing machines.,TRUE,human,male,audio/human_male_true_28.wav
29,"Montpelier, Vermont is the only U.S. state capital without a McDonalds.",TRUE,human,male,audio/human_male_true_29.wav
30,Oregon's state birthday is on Valentine's Day.,TRUE,human,male,audio/human_male_true_30.wav
